序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
1,2012,2012,灾难,立体声,2:36:25,2009,美国
2,101 Dalmatians,101真狗,家庭,,2:00:00,1996,美国
3,102 Dalmatians,102真狗,家庭,,2:00:00,2000,美国
4,TWELVE MONKEYS,12只猴子,科幻,环绕声，多声道,2:04:05,1996,美国
5,SIXTY 6,1966年世界杯,剧情,环绕声，多声道,1:29:42,2006,美国
6,PSYCHO('98),1999惊魂记,惊悚,立体声,1:39:04,1998,美国
7,20/30/40,203040,爱情,立体声,1:52:45,2004,美国
8,2001：Space Odysseys,2001 太空漫游,科幻,立体声,2:15:26,1968,美国
9,FIFA 2006 WORLD CUP 2006：THE GRAND FINALE,2006年世界杯决赛圈,纪录,立体声,1:47:40,2006,美国
10,21 GRAMS,21克,剧情,环绕声，多声道,1:55:51,2003,美国
11,11-Feb-00,42号传奇,运动,环绕声，多声道,2:07:32,2013,美国
12,8mm,8毫米,悬疑,立体声,1:55:45,1999,美国
13,E.T.: The Extra-Terrestrial,E.T. 外星人,科幻,,2:00:00,1982,美国
14,Inspector Gadget,G型神探,动作,,2:00:00,1999,美国
15,HOW HIGH,High到哈佛,喜剧,环绕声，多声道,1:29:56,2001,美国
16,Music ＆ Lyrics,K歌情人,爱情,立体声,1:39:31,2007,美国
17,K-PAX,K星异客,剧情,环绕声，多声道,1:55:14,2001,美国
18,U-TURN,U形转弯,罪案,立体声,2:03:45,1997,美国
19,Project X,X计划,喜剧,环绕声，多声道,1:17:29,2012,美国
20,APOLLO 13,阿波罗13号,剧情,立体声,2:13:51,1995,美国
21,AKEELAH AND THE BEE,阿基拉和拼字比赛,剧情,立体声,1:51:05,2006,美国
22,Romy and Michele's High School Reun,阿珠与阿花,喜剧,,2:00:00,1997,美国
23,"Aloha, Scooby-Doo",啊哈史酷比!,动画,立体声,1:13:30,2005,美国
24,"BOOK OF ELI, THE",艾利之书,剧情,立体声,1:57:29,2010,美国
25,Emma,艾玛,喜剧,,2:00:00,1996,英国/美国
26,LOVE HAPPENS,爱不胜防,爱情,环绕声，多声道,1:44:28,2009,美国
27,END OF THE AFFAIR，THE(1999),爱到尽头,爱情,立体声,1:32:59,1999,美国
28,IdleWild,爱德怀德,剧情,立体声,1:53:27,2006,美国
29,Like Crazy,爱疯了,爱情,,2:00:00,2011,美国
30,The Patriot,爱国者,战争,立体声,2:28:45,2000,美国
31,its copmplicated,爱很复杂,喜剧,环绕声，多声道,1:54:54,2009,美国
32,Alice in Wonderland,爱丽丝梦游仙境,奇幻,,2:00:00,2010,美国
33,LEATHERHEADS,爱情达阵,剧情,环绕声，多声道,1:48:23,2008,美国
34,LITTLE BLACK BOOK,爱情黑名单,爱情,立体声,1:46:25,2004,美国
35,Anna Karenina,安娜·卡列尼娜,爱情,,2:00:00,2012,英国
36,CRIMSON RIVERS，THE,暗流,惊悚,立体声,1:45:08,2001,美国
37,PRIDE AND PREJUDICE,傲慢与偏见,剧情,环绕声，多声道,2:01:14,2005,美国
38,MINDHUNTERS,八面埋伏,罪案,立体声,1:36:41,2005,美国
