序号,英文名称,节目名称,类型,集数,时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1,,黄金鱼,剧情,133,30,2010,韩国,69,26,14,56,http://movie.douban.com/subject/4812747/,2010,황금물고기,28,5.4,0,黄金鱼
2,Enjoy life,享受人生,爱情,133,30,2009,韩国,62,31,16,56,http://movie.douban.com/subject/4176630/,2009,살맛납니다,21,6.2,1,享受人生
3,A Pink Lipstick,粉红色唇膏,爱情,149,60,2010,韩国,219,51,48,181,http://movie.douban.com/subject/4258535/,2010,분홍 립스틱,61,5.5,1,灿烂人生
4,,同伊,剧情,60,60,2010,韩国,1276,522,325,1194,http://movie.douban.com/subject/4217489/,2010,동이,343,7.5,45,同伊
5,,仍想结婚的女人,爱情,16,60,2010,韩国,6421,2178,726,5960,http://movie.douban.com/subject/4249368/,2010,아직도 결혼하고 싶은 여자,1649,7.4,77,仍想结婚的女人
6,Plan B,逃亡者,动作/爱情,30,60,2010,韩国,1680,450,378,1523,http://movie.douban.com/subject/4827923/,2010,도망자 PLAN B,443,6.6,15,逃亡者 Plan B
7,The Queen of Office,女王办公室,爱情,16,60,2010,韩国,1576,838,414,1530,http://movie.douban.com/subject/3752271/,2010,女王辦公室,367,7.2,5,女王办公室
8,You Are My Best,最佳李纯信,剧情,50,60,2013,韩国,1273,305,579,1387,http://movie.douban.com/subject/21346502/,2013,최고다이순신,421,6.6,21,最佳李纯信
9,Ohlala Couple,乌拉拉夫妇,剧情,18,60,2012,韩国,286,100,70,249,http://movie.douban.com/subject/19966595/,2012,울랄라부부/Oh La La Couple,95,6.6,0,乌拉拉夫妇
10,The Innocent Man,善良的男人,剧情,20,60,2012,韩国,15119,4304,2203,13861,http://movie.douban.com/subject/10744808/,2012,세상 어디에도 없는 착한남자,5555,8,159,善良的男人
11,Wild Romance,暴力浪漫史,爱情,16,60,2006,韩国,0,2,None,0,http://movie.douban.com/subject/3221291/,2006,Wild Romance,0,0,0,Wild Romance
12,The Princess' Man,公主的男人,爱情,24,60,2011,韩国,4017,1867,403,3578,http://movie.douban.com/subject/6428112/,2011,공주의 남자,1256,7.8,88,公主的男人
13,Babyfaced Beauty,童颜美女,爱情,20,60,2011,韩国,959,122,149,838,http://movie.douban.com/subject/6094962/,2011,동안미녀,281,6,13,童颜美女
14,My Fair Lady,窈窕淑女,剧情,16,60,1964,韩国,44698,9147,None,31234,http://movie.douban.com/subject/1297965/,1964,My Fair Lady,5555,7.8,89,窈窕淑女
15,Don't Look Back,不要回头,剧情,20,60,2009,韩国,21536,12947,None,16140,http://movie.douban.com/subject/2213119/,2009,Ne te retourne pas,5633,6.1,166,不要回头
16,Mr. Goodbye,再见先生,爱情,20,60,2007,韩国,13714,7698,1547,11628,http://movie.douban.com/subject/2950496/,2007,さよなら絶望先生,2080,8.4,32,再见，绝望先生
17,A love to kill,这该死的爱,爱情,20,60,2005,韩国,7287,868,95,5035,http://movie.douban.com/subject/1478259/,2005,이 죽일 놈의 사랑,848,6.9,39,这该死的爱
18,YOU WILL KNOW THAT,你会明白,爱情,19,60,,韩国,,,,,,,,,,,
19,Love Holic,爱情中毒,爱情,20,60,2005,韩国,572,96,18,419,http://movie.douban.com/subject/3071255/,2005,러브홀릭,114,6.5,1,爱情中毒
1,,钟无艳,爱情,31,60,2010,中国台湾,,,,,,2010,,,,,
2,,第二回合我爱你,爱情,31,60,2010,中国台湾,,,,,,2010,,,,,
3,,美味的想念,剧情,68,60,2013,中国台湾,164,34,51,158,http://movie.douban.com/subject/21826001/,2013,美味的想念,49,6.4,2,美味的想念
4,,比赛开始,剧情,40,60,2009,中国台湾,120,244,24,105,http://movie.douban.com/subject/3609027/,2009,比賽開始,23,6.6,2,比赛开始
5,,紫禁之巅,舞蹈,26,60,2004,中国台湾,,,,,,2004,,,,,
6,,倪亚达,剧情,32,60,2010,中国台湾,150,216,47,138,http://movie.douban.com/subject/4848087/,2010,倪亞達,40,7.9,1,倪亚达
7,,国民英雄,剧情,30,60,2011,中国台湾,,,,,,2011,,,,,
