序号,英文名称,节目名称,集数,时长,声道,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1,mentalist Ⅰ,超感神探 第1季,23,60,立体声,2008,美国,10193,4103,2295,9978,http://movie.douban.com/subject/3141950/,2008,The Mentalist,1799,8.1,42,超感神探 第一季
2,mentalist Ⅱ,超感神探 第2季,23,60,立体声,2009,美国,4631,593,587,4482,http://movie.douban.com/subject/3882803/,2009,The Mentalist ,695,8.5,17,超感神探  第二季
3,CSI:NY Ⅰ,CSI:纽约 第1季,23,60,立体声,2004,美国,7840,2543,1609,6554,http://movie.douban.com/subject/1417726/,2004,CSI: NY,855,8.5,32,犯罪现场调查：纽约 第一季
4,CSI:NY Ⅱ,CSI:纽约 第2季,24,60,立体声,2005,美国,1909,231,71,1412,http://movie.douban.com/subject/3768128/,2005,CSI: NY ,110,8.8,2,犯罪现场调查：纽约 第二季
5,CSI:miami Ⅰ,CSI:迈阿密 第1季,24,60,立体声,2002,美国,3510,758,503,2848,http://movie.douban.com/subject/1401382/,2002,CSI: Miami,369,7.8,18,犯罪现场调查：迈阿密 第一季
6,CSI:miami Ⅱ,CSI:迈阿密 第2季,24,60,立体声,2003,美国,756,114,31,559,http://movie.douban.com/subject/4059067/,2003,CSI: Miami,43,8.2,3,犯罪现场调查：迈阿密 第二季
7,CSI:miami Ⅲ,CSI:迈阿密 第3季,25,60,立体声,2004,美国,,,,,,2004,,,,,
8,CSI:miami Ⅳ,CSI:迈阿密 第4季,25,60,立体声,2005,美国,667,89,22,494,http://movie.douban.com/subject/4249379/,2005,CSI: Miami,40,8.2,1,犯罪现场调查：迈阿密 第四季
9,CSI Ⅶ,CSI 第7季,24,60,立体声,2010,美国,2650,458,391,2262,http://movie.douban.com/subject/5289175/,2010,CSI: Crime Scene Investigation,481,8.5,19,犯罪现场调查 第十一季
10,CSI Ⅷ,CSI 第8季,17,60,立体声,2010,美国,2650,458,391,2262,http://movie.douban.com/subject/5289175/,2010,CSI: Crime Scene Investigation,481,8.5,19,犯罪现场调查 第十一季
11,CSI Ⅸ,CSI 第9季,24,60,立体声,2010,美国,2650,458,391,2262,http://movie.douban.com/subject/5289175/,2010,CSI: Crime Scene Investigation,481,8.5,19,犯罪现场调查 第十一季
12,Grey's Anatomy Ⅰ,实习医生格蕾 第1季,9,60,立体声,2005,美国,39168,8595,7095,34343,http://movie.douban.com/subject/1395471/,2005,Grey's Anatomy,6085,8.7,272,实习医生格蕾 第一季
13,Grey's Anatomy Ⅱ,实习医生格蕾 第2季,27,60,立体声,2005,美国,19464,773,1136,15680,http://movie.douban.com/subject/3275416/,2005,Grey's Anatomy ,2153,9,38,实习医生格蕾  第二季
14,Hotel Babylon Ⅰ,巴比伦饭店 第1季,8,60,立体声,2006,英国,8177,4550,1353,6951,http://movie.douban.com/subject/1863965/,2006,Hotel Babylon,1427,8.3,30,巴比伦饭店 第一季
15,Hotel Babylon Ⅱ,巴比伦饭店 第2季,8,60,立体声,2007,英国,3001,472,238,2406,http://movie.douban.com/subject/3285020/,2007,Hotel Babylon,435,8.4,2,巴比伦饭店 第二季
16,Hotel Babylon Ⅲ,巴比伦饭店 第3季,8,60,立体声,2006,英国,,,,,,2006,,,,,
17,Hotel Babylon IV,巴比伦饭店 第4季,8,60,立体声,2009,英国,1111,513,168,926,http://movie.douban.com/subject/3801682/,2009,Hotel Babylon,248,7.7,6,巴比伦饭店 第四季
18,lost Ⅰ,迷失 第1季,25,60,立体声,2004,美国,53169,10526,6678,41877,http://movie.douban.com/subject/1394819/,2004,Lost,8004,8.4,350,迷失 第一季
19,lost Ⅱ,迷失 第2季,24,60,环绕声，多声道,2005,美国,20445,936,735,16334,http://movie.douban.com/subject/2344755/,2005,Lost,1772,8.3,22,迷失  第二季
20,lost Ⅲ,迷失 第3季,23,60,立体声,2006,美国,,,,,,2006,,,,,
21,lost Ⅳ,迷失 第4季,14,60,立体声,2008,美国,15706,1149,565,12534,http://movie.douban.com/subject/2153016/,2008,Lost,1295,8.6,55,迷失  第四季
22,lost Ⅴ,迷失 第5季,17,60,立体声,2009,美国,13701,1244,764,11137,http://movie.douban.com/subject/3196716/,2009,Lost ,1311,8.8,58,迷失  第五季
23,lost6,迷失 第6季,17,60,立体声,2009,美国,,,,,,2009,,,,,
24,Heroes,英雄 第1季,23,60,环绕声，多声道,2006,美国,45120,4725,3697,35466,http://movie.douban.com/subject/1837856/,2006,Heroes,5964,8.2,216,英雄 第一季
25,Heroes Ⅱ,英雄 第2季,11,60,环绕声，多声道,2007,美国,19156,772,567,14738,http://movie.douban.com/subject/2263253/,2007,Heroes ,1419,7.5,29,英雄  第二季
26,Heroes Ⅲ,英雄 第3季,25,60,环绕声，多声道,2008,美国,,,,,,2008,,,,,
37,Prisonbreak Ⅰ,越狱 第1季,22,60,立体声,2005,美国,126822,6116,4399,91646,http://movie.douban.com/subject/1419297/,2005,Prison Break,16428,9,456,越狱 第一季
38,Prisonbreak Ⅱ,越狱 第2季,22,60,立体声,2006,美国,61064,1701,1059,43513,http://movie.douban.com/subject/1876781/,2006,Prison Break ,4416,8.1,131,越狱  第二季
39,Prisonbreak Ⅲ,越狱 第3季,13,60,立体声,2007,美国,,,,,,2007,,,,,
40,Prisonbreak Ⅳ,越狱 第4季,22,60,立体声,2008,美国,39618,1891,3072,33013,http://movie.douban.com/subject/3197006/,2008,Prison Break ,4376,7.6,293,越狱  第四季
41,Damages Ⅰ,以法之名 第1季,13,60,立体声,2007,美国,,,,,,2007,,,,,
42,Damages Ⅱ,以法之名 第2季,13,60,立体声,2009,美国,617,224,87,560,http://movie.douban.com/subject/3411487/,2009,Damages ,94,8.2,3,裂痕  第二季
43,Damages Ⅲ,以法之名 第3季,13,60,立体声,2009,美国,,,,,,2009,,,,,
44,Damages 4,以法之名 第4季,10,60,立体声,2011,美国,226,129,30,189,http://movie.douban.com/subject/6526733/,2011,Damages,52,7.7,2,裂痕 第四季
45,Fringe Ⅰ,危机边缘 第1季,20,60,立体声,2008,美国,20531,8811,4858,19420,http://movie.douban.com/subject/2338071/,2008,Fringe,3687,8.3,99,危机边缘 第一季
46,Fringe Ⅱ,危机边缘 第2季,22,60,立体声,2008,美国,20531,8811,4858,19420,http://movie.douban.com/subject/2338071/,2008,Fringe,3687,8.3,99,危机边缘 第一季
47,Cranford,克兰福德纪事,5,60,立体声,2007,英国,3824,5702,510,3269,http://movie.douban.com/subject/2142549/,2007,Cranford,1054,8.9,33,克兰弗德 第一季
48,Cranford,克兰福德纪事特别篇,3,60,立体声,2007,英国,3824,5702,510,3269,http://movie.douban.com/subject/2142549/,2007,Cranford,1054,8.9,33,克兰弗德 第一季
49,EMMA,爱玛,4,60,立体声,2009,英国,10219,4814,487,8696,http://movie.douban.com/subject/3610967/,2009,Emma,3122,8.2,53,爱玛
50,Lie to me,别对我说慌 第1季,13,60,立体声,2009,美国,102205,18491,22021,92871,http://movie.douban.com/subject/3103678/,2009,Lie to Me,15647,8.6,371,千谎百计 第一季
51,Lie to me 2,别对我说慌 第2季,22,60,立体声,2009,美国,40529,3836,7899,37740,http://movie.douban.com/subject/3882839/,2009,Lie to Me ,5580,8.3,54,千谎百计  第二季
