序号,英文名称,节目名称,类別,集数,时长,国家,配音,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1,trek-spy on the wildebeest,大迁徙 角马群里的间谍,自然动物类,2,60,英国,汉语,178,77,None,135,http://movie.douban.com/subject/3617545/,,Trek: Spy on the Wildebeest,37,9.1,1,大迁徙 角马群里的间谍
2,Life,生命,自然动物类,10,60,英国,汉语,31572,38554,None,23141,http://movie.douban.com/subject/2336735/,2011,The Tree of Life,11787,6.7,274,生命之树
3,Ganges,恒河,自然动物类,3,60,英国,汉语,837,858,25,645,http://movie.douban.com/subject/2978962/,2008,Ganges,178,8.4,3,恒河
4,Tiger - Spy In The Jungle,虎，丛林中窥探,自然动物类,3,60,英国,汉语,167,92,None,121,http://movie.douban.com/subject/3174114/,2008,Tiger - Spy in the Jungle,33,9.3,0,虎-丛林中窥探
5,Yellowstone,黄石公园,自然动物类,3,60,英国,汉语,1735,1274,90,1405,http://movie.douban.com/subject/3826156/,2009,Yellowstone,416,9.3,7,黄石公园
6,"Secret Life of Elephant, The",大象的秘密生活,自然动物类,3,60,英国,汉语,6037,2067,None,4179,http://movie.douban.com/subject/1298052/,1995,慈禧秘密生活,1215,6.4,7,慈禧秘密生活
7,Planet Earth,地球脉动,自然动物类,11,60,英国,汉语,15722,31733,3204,13945,http://movie.douban.com/subject/1871906/,2006,Planet Earth,2926,9.7,72,地球脉动
8,South Pacific,南太平洋,自然动物类,6,60,英国,汉语,4020,8945,510,3626,http://movie.douban.com/subject/3837519/,2009,South Pacific,1202,9.7,12,南太平洋
9,Face to face with the ice bear,与北极熊面对面,自然动物类,1,60,日本,汉语,,,,,,,,,,,
10,Wild Secrets,野生动物的秘密 第1-4季,自然动物类,52,30,日本,汉语,10974,3265,867,8680,http://movie.douban.com/subject/2255001/,2007,Secret Diary of a Call Girl,2005,7.4,37,应召女郎的秘密日记 第一季
11,Shape of life,生命的形状,自然动物类,8,60,美国,汉语,285,434,None,220,http://movie.douban.com/subject/3630615/,2002,PBS:Shape of Life,72,9.1,5,生命的形状
12,LIFE IN THE CANOPY,树冠上的生活,自然动物类,3,60,英国,汉语,95,98,None,69,http://movie.douban.com/subject/3222874/,2008,马桶上的甜蜜生活,26,5,3,马桶上的甜蜜生活
13,Victoria Falls,维多利亚瀑布,自然动物类,1,60,英国,汉语,41992,16155,None,32432,http://movie.douban.com/subject/3642866/,2010,維多利亞壹號,13027,7.2,216,维多利亚一号
14,Birds.of.Paradise,鸟的天堂,自然动物类,1,60,英国,汉语,153,472,4,112,http://movie.douban.com/subject/1874226/,1996,Attenborough in Paradise,17,9.2,0,鸟的天堂
15,"HIDDEN HIGHLANDS, THE",隐藏的高地,自然动物类,1,60,英国,汉语,5428,10051,None,4331,http://movie.douban.com/subject/1946786/,2005,Un amour à taire,1451,8.5,37,隐藏的恋情
16,PREDATOR X,掠食者,自然动物类,1,90,英国,汉语,68,8,None,53,http://movie.douban.com/subject/2969627/,2006,Zwei zum Fressen gern,16,4.3,1,巨鳄之灾
17,WILD CHINA,美丽中国,自然动物类,6,60,英国,汉语,27195,22205,2864,22760,http://movie.douban.com/subject/3077948/,2008,Wild China,4795,9.3,120,美丽中国
18,Equator,赤道,自然动物类,6,60,日本,汉语,410,331,73,359,http://movie.douban.com/subject/10508875/,2012,적도의 남자,157,6.7,8,赤道的男人
19,Butterflies,蝴蝶—英国人的迷恋之物,自然动物类,1,60,英国,汉语,,,,,,,,,,,
20,"Himalayas, The",喜马拉雅山,自然动物类,1,60,英国,汉语,9206,6356,None,6523,http://movie.douban.com/subject/1303017/,1999,Himalaya - l'enfance d'un chef,1516,8.4,71,喜马拉雅
21,Mapping The World,把地球绘进地图,自然动物类,3,60,英国,汉语,,,,,,,,,,,
22,Mountain Gorilla,山地大猩猩,自然动物类,3,60,英国,汉语,22,5,None,14,http://movie.douban.com/subject/2265639/,1992,Mountain Gorilla,1,7.7,0,山地大猩猩
24,Kingdom of the Elephants,大象王国,自然动物类,1,60,美国,原文,1559,455,None,1222,http://movie.douban.com/subject/2133313/,2009,Imagine That,316,6.5,7,幻想之地
25,The Pack,野狗的故事,自然动物类,5,30,美国,原文,1417,2696,499,1434,http://movie.douban.com/subject/25769356/,2013,茶，一片树叶的故事,486,8.7,12,茶，一片树叶的故事
27,AMAZING PLANET,奇妙星球,自然动物类,3,60,美国,汉语,,,,,,,,,,,
28,INTO THE PRIDE,拯救骄傲的狮子,自然动物类,5,60,美国,汉语,10632,207,None,7258,http://movie.douban.com/subject/1883634/,1956,骄傲的将军,397,8,2,骄傲的将军
