序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1,2012,2012,灾难,立体声,2:36:25,2012,美国,3093,1111,421,2836,http://movie.douban.com/subject/10788845/,2012,로맨스가 필요해 2012,1198,7.8,54,需要浪漫2012
2,101 Dalmatians,101真狗,家庭,,2:00:00,1996,美国,85324,1238,None,57772,http://movie.douban.com/subject/1293135/,1996,101 Dalmatians,3974,7.2,7,101真狗
3,102 Dalmatians,102真狗,家庭,,2:00:00,2000,美国,13432,570,None,8842,http://movie.douban.com/subject/1301167/,2000,102 Dalmatians,462,6.8,1,102真狗
4,TWELVE MONKEYS,12只猴子,科幻,环绕声，多声道,2:04:05,1995,美国,99439,28569,None,76608,http://movie.douban.com/subject/1298744/,1995,Twelve Monkeys,16548,7.9,340,十二猴子
5,SIXTY 6,1966年世界杯,剧情,环绕声，多声道,1:29:42,2006,美国,170,225,None,129,http://movie.douban.com/subject/1890644/,2006,Sixty Six,27,7.7,6,1966年
6,PSYCHO('98),1999惊魂记,惊悚,立体声,1:39:04,1998,美国,1545,1314,None,1065,http://movie.douban.com/subject/1293920/,1998,Psycho,254,6.4,3,98惊魂记
7,20/30/40,203040,爱情,立体声,1:52:45,2004,美国,59209,9654,None,38669,http://movie.douban.com/subject/1310174/,2004,20 30 40,5319,7.1,295,20 30 40
8,2001：Space Odysseys,2001 太空漫游,科幻,立体声,2:15:26,1968,美国,58910,31882,None,42932,http://movie.douban.com/subject/1292226/,1968,2001: A Space Odyssey,12813,8.5,351,2001太空漫游
9,FIFA 2006 WORLD CUP 2006：THE GRAND FINALE,2006年世界杯决赛圈,纪录,立体声,1:47:40,2006,美国,618,284,None,492,http://movie.douban.com/subject/1962185/,2006,The Official Film of the 2006 FIFA World Cup,129,8.5,5,2006年世界杯决赛圈官方纪录片
10,21 GRAMS,21克,剧情,环绕声，多声道,1:55:51,2003,美国,44727,30379,None,32750,http://movie.douban.com/subject/1308599/,2003,21 Grams,6394,7.9,234,21克
11,11-Feb-00,42号传奇,运动,环绕声，多声道,2:07:32,2013,美国,6782,3804,None,5794,http://movie.douban.com/subject/2133379/,2013,42,2055,7.8,24,42号传奇
12,8mm,8毫米,悬疑,立体声,1:55:45,1999,美国,21358,5158,None,15270,http://movie.douban.com/subject/1296153/,1999,8MM,2206,7.2,75,八毫米
13,E.T.: The Extra-Terrestrial,E.T. 外星人,科幻,,2:00:00,1982,美国,145213,18172,None,99917,http://movie.douban.com/subject/1294638/,1982,E.T.: The Extra-Terrestrial,12032,8.5,108,E.T. 外星人
14,Inspector Gadget,G型神探,动作,,2:00:00,1999,美国,6479,525,None,4628,http://movie.douban.com/subject/1293690/,1999,Inspector Gadget,500,6.1,2,G型神探
15,HOW HIGH,High到哈佛,喜剧,环绕声，多声道,1:29:56,2001,美国,722,861,None,472,http://movie.douban.com/subject/1308376/,2001,How High,116,7.4,0,High到哈佛
16,Music ＆ Lyrics,K歌情人,爱情,立体声,1:39:31,2007,美国,71979,15392,None,53789,http://movie.douban.com/subject/1937401/,2007,Music and Lyrics,12584,7.3,262,K歌情人
17,K-PAX,K星异客,剧情,环绕声，多声道,1:55:14,2001,美国,33489,11769,None,27745,http://movie.douban.com/subject/1306607/,2001,K-PAX,7330,8.4,209,K星异客
18,U-TURN,U形转弯,罪案,立体声,2:03:45,1997,美国,9168,8453,None,7050,http://movie.douban.com/subject/1292228/,1997,U Turn,1703,8,44,不准掉头
19,Project X,X计划,喜剧,环绕声，多声道,1:17:29,2012,美国,14153,4830,None,11606,http://movie.douban.com/subject/4810698/,2012,Project X,5035,6.9,50,X计划
20,APOLLO 13,阿波罗13号,剧情,立体声,2:13:51,1995,美国,18673,4350,None,13901,http://movie.douban.com/subject/1293785/,1995,Apollo 13,1821,7.7,26,阿波罗13号
21,AKEELAH AND THE BEE,阿基拉和拼字比赛,剧情,立体声,1:51:05,2006,美国,11842,2949,None,9222,http://movie.douban.com/subject/1477506/,2006,Akeelah and the Bee,2044,7.5,53,阿基拉和拼字大赛
22,Romy and Michele's High School Reun,阿珠与阿花,喜剧,,2:00:00,1997,美国,730,461,None,567,http://movie.douban.com/subject/1296639/,1997,Romy and Michele's High School Reunion,165,6.7,2,阿珠与阿花
23,"Aloha, Scooby-Doo",啊哈史酷比!,动画,立体声,1:13:30,2005,美国,25,4,None,16,http://movie.douban.com/subject/5223501/,2005,"Aloha, Scooby-Doo",2,5.9,0,啊哈 史酷比
24,"BOOK OF ELI, THE",艾利之书,剧情,立体声,1:57:29,2010,美国,25198,4630,None,20673,http://movie.douban.com/subject/3205571/,2010,The Book of Eli,5785,6.4,207,伊莱之书
25,Emma,艾玛,喜剧,,2:00:00,2011,英国/美国,7523,2564,None,5805,http://movie.douban.com/subject/5152333/,2011,"Få meg på, for faen",2425,6.4,22,艾玛好色
