序号,英文名称,节目名称,类别,集数,时长,国家,配音,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1,Focused,极限体育,体育,32,30,美国,中文配音,,,,,,,,,,,
2,,乘风破浪,体育,39,30,美国,中文配音,,,,,,,,,,,
3,,极速探险,体育,9,30,美国,中文配音,,,,,,,,,,,
4,,极限挑战,体育,48,30,美国,中文配音,,,,,,,,,,,
5,,轻松高尔夫,体育,13,30,美国,中文配音,,,,,,,,,,,
6,,水上激情,体育,12,30,美国,中文配音,,,,,,,,,,,
7,most expensive ride,世界上最奢侈的座驾,时尚综艺,13,30,美国,原声,49,15,7,42,http://movie.douban.com/subject/20427165/,2009,World's Most Expensive Rides,15,6.8,0,世界上最奢侈的座驾 第一季
8,Searching for Beauty,魅力海滩,时尚综艺,7,30,美国,原声,,,,,,,,,,,
9,,美丽大搜索,时尚综艺,10,30,美国,原声,,,,,,,,,,,
10,,时尚新生活,时尚综艺,28,30,美国,原声,,,,,,,,,,,
11,,品味空间,时尚综艺,51,30,美国,中文配音,,,,,,,,,,,
12,Amazing Magical Tours of Marco,马克的魔术之旅 纽约,时尚综艺,1,30,日本,中文配音,,,,,,,,,,,
13,Amazing Magical Tours of Marco,马克的魔术之旅 东京,时尚综艺,1,30,日本,中文配音,,,,,,,,,,,
14,masters of illusions,魔术大师,时尚综艺,13,60,美国,中文配音,1693,2379,260,1424,http://movie.douban.com/subject/4850393/,2010,Modern Masters,493,9.3,8,现代艺术大师
15,JIMMY'S FOOD FACTORY 1,吉米的食品工厂第1季,时尚综艺,6,30,英国,原声,720,630,16,567,http://movie.douban.com/subject/4824956/,2009,Jimmy's Food Factory,186,8.9,3,吉米的食品工厂 第一季
16,JIMMY'S FOOD FACTORY 2,吉米的食品工厂第2季,时尚综艺,8,30,英国,原声,720,630,16,567,http://movie.douban.com/subject/4824956/,2009,Jimmy's Food Factory,186,8.9,3,吉米的食品工厂 第一季
17,Running in Heels,穿高跟鞋狂奔,时尚综艺,10,30,美国,中文配音,39,108,5,28,http://movie.douban.com/subject/3705818/,2009,Running in Heels,14,7.3,2,穿高跟鞋狂奔
18,Dress My Nest,陋室大变身,时尚综艺,10,30,美国,中文配音,6,6,3,6,http://movie.douban.com/subject/24704052/,2007,dress my nest,1,0,0,陋室大变身 第一季
19,Peter Perfect,完美大变身,时尚综艺,8,60,美国,原声,6,6,3,6,http://movie.douban.com/subject/24704052/,2007,dress my nest,1,0,0,陋室大变身 第一季
20,MegaStructures Breakdown,大型建筑回收,时尚综艺,9,60,美国,中文配音,6,6,2,8,http://movie.douban.com/subject/22763779/,2012,大型建筑回收,2,0,0,大型建筑回收
21,,豪华餐厅,时尚综艺,15,30,美国,中文配音,,,,,,,,,,,
28,,好莱坞速递,时尚综艺,37,30,美国,原声,,,,,,,,,,,
37,,爱玩客—吴凤,时尚综艺,21,60,中国台湾,原声,,,,,,,,,,,
38,,爱玩客—惟毅,时尚综艺,21,60,中国台湾,原声,,,,,,,,,,,
39,,爱玩客—自由发挥,时尚综艺,21,60,中国台湾,原声,,,,,,,,,,,
40,,爱玩客—苡乔,时尚综艺,21,60,中国台湾,原声,,,,,,,,,,,
